path,.,_id,imageUrl,annotation,brush,annotation.0.regionType,annotation.0.id,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.0.labels,annotation.0.color
interface,"{""type"":""image_segmentation"",""labels"":[{""id"":""60kmh"",""description"":""valid""},{""id"":""100kmh"",""description"":""invalid""}],""regionTypesAllowed"":[""bounding-box""]}",,,,,,,,,,,,,
samples.0,,suhpayl54,https://s3.amazonaws.com/asset.workaround.online/example-jobs/sticky-notes/image1.jpg,[],review,,,,,,,,,
samples.1,,sz8prqfyr,https://s3.amazonaws.com/asset.workaround.online/example-jobs/sticky-notes/image2.jpg,[],review,,,,,,,,,
samples.2,,sl973fja6,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img0.png,,review,bounding-box,9484008207287267,0.7444444444444445,0.5380952380952381,0.1777777777777778,0.2920634920634921,100kmh,,#2196f3
samples.3,,sq8t2rwdc,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1.png,,review,bounding-box,6576640594021677,0.8396825396825396,0.39285714285714285,0.15873015873015872,0.22698412698412695,100kmh,,#2196f3
samples.4,,sny745rq6,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img10.png,[],review,,,,,,,,,
samples.5,,s765pjm1s,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1026.png,,review,bounding-box,41437348564869936,0.746031746031746,0.5603174603174603,0.21587301587301588,0.23809523809523814,100kmh,,#2196f3
samples.6,,sjtb7zyh8,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1027.png,[],review,,,,,,,,,
samples.7,,s67sxj7kr,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1028.png,[],review,,,,,,,,,
samples.8,,sxwm2f0sy,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1029.png,,review,bounding-box,3506267165947512,0.5595238095238095,0.6134920634920635,0.18888888888888888,0.2936507936507936,100kmh,,#2196f3
samples.9,,sj5n2e41l,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1030.png,,review,bounding-box,8056419495174134,0.6468253968253969,0.6198412698412699,0.13492063492063489,0.18888888888888888,100kmh,,#2196f3
samples.10,,sd9j4vccd,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1031.png,[],review,,,,,,,,,
samples.11,,s6p6qepro,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1032.png,[],review,,,,,,,,,
samples.12,,s9z4e5u8t,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1033.png,,review,bounding-box,41694143073008383,0.9458041958041958,0.4938811188811189,0.09090909090909094,0.14860139860139865,100kmh,,#2196f3
samples.13,,sn1lkesbu,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1034.png,,review,bounding-box,8781357456011829,0.4982517482517482,0.48863636363636365,0.30769230769230765,0.44580419580419584,100kmh,,#2196f3
samples.14,,so0fqvxv7,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1035.png,[],review,,,,,,,,,
samples.15,,s1mvkkmig,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1036.png,[],review,,,,,,,,,
samples.16,,s9d3j5dho,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1037.png,[],review,,,,,,,,,
samples.17,,sdywqk0uq,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1038.png,[],review,,,,,,,,,
samples.18,,stmdwzpzy,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1039.png,[],review,,,,,,,,,
samples.19,,s5f6i7qzr,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1040.png,,review,bounding-box,3157270232348197,0.3173076923076923,0.6503496503496503,0.22902097902097904,0.38811188811188807,100kmh,,#2196f3
samples.20,,stcemb6mq,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1041.png,,review,bounding-box,866072547582375,0.7805944055944056,0.20279720279720279,0.19055944055944052,0.32517482517482516,100kmh,,#2196f3
samples.21,,ssdy7n9wp,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1042.png,,review,bounding-box,835866693855496,0.24562937062937062,0.5087412587412588,0.16958041958041958,0.22027972027972026,100kmh,,#2196f3
samples.22,,sjoy3hjal,file:///Users/jeffreyli/Documents/APS360 project/aug data/100kmh/img1043.png,,review,bounding-box,26741500345108293,0.7062937062937062,0.6984265734265733,0.1573426573426574,0.19405594405594406,100kmh,,#2196f3
