path,.,_id,imageUrl,brush,annotation,annotation.0.regionType,annotation.0.id,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.0.color,annotation.1.regionType,annotation.1.id,annotation.1.centerX,annotation.1.centerY,annotation.1.width,annotation.1.height,annotation.1.classification,annotation.1.color,annotation.0.labels,annotation.1.labels,annotation.0.points.0.x,annotation.0.points.0.y,annotation.0.points.1.x,annotation.0.points.1.y,annotation.0.points.2.x,annotation.0.points.2.y,annotation.0.points.3.x,annotation.0.points.3.y
interface,"{""type"":""image_segmentation"",""labels"":[{""id"":""yield"",""description"":""yield""},{""id"":""keepRight"",""description"":""keepRight""}],""regionTypesAllowed"":[""bounding-box"",""polygon"",""point""]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samples.0,,ssldh2dlp,file:///Users/stephaniewong/Desktop/yield/img1000.png,complete,,bounding-box,9909654650116896,0.19280205655526994,0.49614395886889456,0.22622107969151672,0.2107969151670951,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.1,,sc2p9cjdn,file:///Users/stephaniewong/Desktop/yield/img1001.png,complete,,bounding-box,0007703351409826809,0.7069408740359897,0.4575835475578406,0.25192802056555275,0.19280205655526989,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.2,,s81xt6vik,file:///Users/stephaniewong/Desktop/yield/img1002.png,complete,,bounding-box,4625660722871965,0.6940874035989717,0.4550128534704371,0.19280205655526994,0.16709511568123397,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.3,,su4scwdjq,file:///Users/stephaniewong/Desktop/yield/img1003.png,complete,,bounding-box,48960957162722264,0.550771208226221,0.5655526992287918,0.17866323907455012,0.18508997429305907,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.4,,sblzenr6o,file:///Users/stephaniewong/Desktop/yield/img1004.png,complete,,bounding-box,13194912934081726,0.5186375321336761,0.19023136246786632,0.13496143958868895,0.20308483290488433,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.5,,spdobv85f,file:///Users/stephaniewong/Desktop/yield/img1005.png,complete,[],,,,,,,,,,,,,,,,,,,,,,,,,,
samples.6,,s61hlieb6,file:///Users/stephaniewong/Desktop/yield/img1006.png,complete,,bounding-box,8327669905920456,0.7975578406169666,0.5167095115681234,0.20951156812339333,0.14910025706940871,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.7,,s1bqo444d,file:///Users/stephaniewong/Desktop/yield/img1007.png,complete,,bounding-box,43015845147765690,0.2577120822622108,0.6529562982005142,0.18123393316195371,0.1773778920308483,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.8,,scw4qvnua,file:///Users/stephaniewong/Desktop/yield/img1008.png,complete,,bounding-box,937877949063437,0.5584832904884318,0.5218508997429306,0.14267352185089976,0.15424164524421596,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.9,,sf0sg1efp,file:///Users/stephaniewong/Desktop/yield/img1009.png,complete,,bounding-box,1611962796473927,0.32069408740359895,0.7281491002570695,0.15809768637532134,0.19151670951156807,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.10,,suigcybcc,file:///Users/stephaniewong/Desktop/yield/img1010.png,complete,,bounding-box,4895103770602407,0.2519280205655527,0.5533419023136247,0.18508997429305915,0.17866323907455017,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.11,,sh1x78zl2,file:///Users/stephaniewong/Desktop/yield/img1011.png,complete,,bounding-box,959544220745048,0.6253213367609254,0.622107969151671,0.16323907455012854,0.2005141388174807,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.12,,st0aqi4rr,file:///Users/stephaniewong/Desktop/yield/img1012.png,complete,,bounding-box,1730724622617168,0.5906169665809768,0.7519280205655527,0.14267352185089976,0.19023136246786632,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.13,,sqs2ajv7a,file:///Users/stephaniewong/Desktop/yield/img1013.png,complete,,bounding-box,33962506299434224,0.7352185089974292,0.6111825192802056,0.15424164524421602,0.1606683804627249,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.14,,ssv8aurps,file:///Users/stephaniewong/Desktop/yield/img1014.png,complete,,bounding-box,08370659872371666,0.5533419023136247,0.5392030848329049,0.15295629820051415,0.13239074550128538,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.15,,soeo35ucw,file:///Users/stephaniewong/Desktop/yield/img1015.png,complete,,bounding-box,02774323394548195,0.519280205655527,0.40938303341902316,0.17994858611825193,0.20179948586118251,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.16,,s32qlbdwv,file:///Users/stephaniewong/Desktop/yield/img1016.png,complete,,bounding-box,651660179303303,0.45629820051413883,0.6934447300771208,0.16709511568123392,0.21208226221079696,yield,#f44336,,,,,,,,,,,,,,,,,,
samples.17,,s7koxspsb,file:///Users/stephaniewong/Desktop/yield/img1017.png,complete,,bounding-box,05476764686253488,0.38174807197943444,0.8412596401028278,0.16709511568123392,0.1812339331619538,yield,#f44336,,,,,,,,,,,,,,,,,,
