path,.,_id,imageUrl,brush,annotation,annotation.0.regionType,annotation.0.id,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.0.color,annotation.0.labels.0
interface,"{""type"":""image_segmentation"",""labels"":[{""id"":""30kmh"",""description"":""30kmh""},{""id"":""Other"",""description"":""Other""}],""regionTypesAllowed"":[""bounding-box"",""polygon"",""point""],""multipleRegionLabels"":true}",,,,,,,,,,,,,
samples.0,,svvmwmm6d,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img100.png,complete,,bounding-box,9410779757970105,0.216820987654321,0.4013888865341375,0.24228395061728397,0.2546296296296296,,#ff0000,30kmh
samples.1,,s81s2g55c,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img101.png,complete,,bounding-box,780232322342455,0.7044753086419753,0.6413580223366067,0.2885802469135802,0.29938271604938277,,#ff0000,30kmh
samples.2,,s07g9zj5s,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img102.png,complete,,bounding-box,9956063145428176,0.6304012345679012,0.23780863962055726,0.21759259259259256,0.33796296296296297,,#ff0000,30kmh
samples.3,,sucav068d,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img103.png,complete,,bounding-box,9398105041603741,0.7052469135802469,0.611265429744014,0.21296296296296302,0.23919753086419754,,#ff0000,30kmh
samples.4,,sp4a1n27l,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img104.png,complete,,bounding-box,45956527597507524,0.47453703703703703,0.6475308618427795,0.1435185185185185,0.2808641975308642,,#ff0000,30kmh
samples.5,,s4ammjucs,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img105.png,complete,,bounding-box,035484231389135035,0.5887345679012346,0.38904320752179183,0.19290123456790126,0.2515432098765432,,#ff0000,30kmh
samples.6,,slgf2a7fp,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img106.png,complete,,bounding-box,3126907772656726,0.49922839506172845,0.478549380361298,0.16512345679012347,0.22376543209876548,,#ff0000,30kmh
samples.7,,sgcxc3w3r,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img107.png,complete,,bounding-box,2345054581557271,0.44830246913580246,0.30030863962055726,0.15586419753086422,0.2469135802469136,,#ff0000,30kmh
samples.8,,sup8u9g7k,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img108.png,complete,,bounding-box,5972299266833241,0.6049382716049383,0.7748456766575943,0.14814814814814814,0.22685185185185186,,#ff0000,30kmh
samples.9,,sr3erynzi,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img1086.png,complete,,bounding-box,5518158384518095,0.6952160493827161,0.5341049359168535,0.16820987654320985,0.19907407407407407,,#ff0000,30kmh
samples.10,,shebqeajq,file://D:\Documents\UofT\Deep learning\Project\APS360_Traffic_Sign_Recognition\To push\AugData\30kmh\img1087.png,complete,,bounding-box,9874798658614119,0.8703703703703703,0.6807098741884585,0.26543209876543217,0.26388888888888895,,#ff0000,30kmh
