Id,imageUrl,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.1.centerX,annotation.1.centerY,annotation.1.width,annotation.1.height,annotation.1.classification
0,AugData/100kmh/img0.png,0.7444444444444450,0.5380952380952380,0.1777777777777780,0.2920634920634920,100kmh,,,,,
1,AugData/100kmh/img1.png,0.8396825396825400,0.39285714285714300,0.15873015873015900,0.22698412698412700,100kmh,,,,,
2,AugData/100kmh/img10.png,,,,,,,,,,
3,AugData/100kmh/img1026.png,0.746031746031746,0.5603174603174600,0.21587301587301600,0.23809523809523800,100kmh,,,,,
4,AugData/100kmh/img1027.png,,,,,,,,,,
5,AugData/100kmh/img1028.png,,,,,,,,,,
6,AugData/100kmh/img1029.png,0.5595238095238100,0.6134920634920640,0.18888888888888900,0.2936507936507940,100kmh,,,,,
7,AugData/100kmh/img1030.png,0.6468253968253970,0.6198412698412700,0.13492063492063500,0.18888888888888900,100kmh,,,,,
8,AugData/100kmh/img1031.png,,,,,,,,,,
9,AugData/100kmh/img1032.png,,,,,,,,,,
10,AugData/100kmh/img1033.png,0.9458041958041960,0.4938811188811190,0.09090909090909090,0.14860139860139900,100kmh,,,,,
11,AugData/100kmh/img1034.png,0.4982517482517480,0.48863636363636400,0.30769230769230800,0.44580419580419600,100kmh,,,,,
12,AugData/100kmh/img1035.png,,,,,,,,,,
13,AugData/100kmh/img1036.png,,,,,,,,,,
14,AugData/100kmh/img1037.png,,,,,,,,,,
15,AugData/100kmh/img1038.png,,,,,,,,,,
16,AugData/100kmh/img1039.png,,,,,,,,,,
17,AugData/100kmh/img1040.png,0.3173076923076920,0.6503496503496500,0.22902097902097900,0.38811188811188800,100kmh,,,,,
18,AugData/100kmh/img1041.png,0.7805944055944060,0.20279720279720300,0.19055944055944100,0.32517482517482500,100kmh,,,,,
19,AugData/100kmh/img1042.png,0.24562937062937100,0.5087412587412590,0.16958041958042000,0.22027972027972000,100kmh,,,,,
20,AugData/100kmh/img1043.png,0.7062937062937060,0.6984265734265730,0.1573426573426570,0.19405594405594400,100kmh,,,,,
21,AugData/100kmh/img1044.png,0.6337412587412590,0.6083916083916080,0.11713286713286700,0.1748251748251750,100kmh,,,,,
22,AugData/100kmh/img1045.png,0.6783216783216780,0.27884615384615400,0.16083916083916100,0.256993006993007,100kmh,,,,,
23,AugData/100kmh/img1046.png,,,,,,,,,,
24,AugData/100kmh/img1047.png,0.21765734265734300,0.4807692307692310,0.19755244755244800,0.27272727272727300,100kmh,,,,,
25,AugData/100kmh/img1048.png,,,,,,,,,,
26,AugData/100kmh/img1049.png,,,,,,,,,,
27,AugData/100kmh/img1050.png,,,,,,,,,,
28,AugData/100kmh/img1051.png,,,,,,,,,,
29,AugData/100kmh/img1052.png,,,,,,,,,,
30,AugData/100kmh/img1053.png,,,,,,,,,,
31,AugData/100kmh/img1054.png,,,,,,,,,,
32,AugData/100kmh/img1055.png,,,,,,,,,,
33,AugData/100kmh/img1056.png,,,,,,,,,,
34,AugData/100kmh/img1057.png,0.6215034965034970,0.5856643356643360,0.14860139860139900,0.1573426573426570,100kmh,,,,,
35,AugData/100kmh/img1058.png,,,,,,,,,,
36,AugData/100kmh/img1059.png,0.3356643356643360,0.7185314685314690,0.19230769230769200,0.2552447552447550,100kmh,,,,,
37,AugData/100kmh/img1060.png,0.22814685314685300,0.7980769230769230,0.15909090909090900,0.20454545454545400,100kmh,,,,,
38,AugData/100kmh/img1061.png,0.2674825174825180,0.7832167832167830,0.2902097902097900,0.3321678321678320,100kmh,,,,,
