Id,imageUrl,annotation.0.centerX,annotation.0.centerY,annotation.0.width,annotation.0.height,annotation.0.classification,annotation.1.centerX,annotation.1.centerY,annotation.1.width,annotation.1.height,annotation.1.classification
4063,AugDataNoRight/img350.png,0.312339331619537,0.444087403598972,0.089974293059126,0.106683804627249,noRight,,,,,
2336,AugData/NoEntry/img4377.png,0.215083798882682,0.541589072740722,0.0986964618249535,0.124767225325885,NoEntry,,,,,
271,AugData/100kmh/img3084.png,,,,,,,,,,
3161,AugData/Stop/img427.png,0.69212962962963,0.351234565546483,0.186728395061728,0.194444444444444,Stop,,,,,
1026,AugData/yield/img1532.png,0.574550128534704,0.333547557840617,0.185089974293059,0.176092544987147,yield,,,,,
110,AugData/100kmh/img1581.png,,,,,,,,,,
4077,AugDataNoRight/img364.png,0.457583547557841,0.465938303341902,0.125964010282776,0.158097686375321,noRight,,,,,
2721,AugData/NoLeft/img4435.png,0.271880819366853,0.211049035496774,0.0670391061452514,0.074487895716946,NoLeft,0.687150837988827,0.252017378141094,0.0856610800744879,0.13780260707635,NoLeft
3506,AugData/30kmh/img2655.png,0.286265432098765,0.52253086184278,0.202160493827161,0.17283950617284,30kmh,,,,,
2198,AugData/NoEntry/img2828.png,0.589385474860335,0.337678458215582,0.135940409683426,0.111731843575419,NoEntry,,,,,
3466,AugData/30kmh/img2158.png,0.514660493827161,0.475462960608212,0.186728395061728,0.251543209876543,30kmh,,,,,
3235,AugData/Stop/img896.png,0.351851851851852,0.216203701348952,0.209876543209877,0.223765432098765,Stop,,,,,
338,AugData/100kmh/img3599.png,0.490476190476191,0.483333333333333,0.241269841269841,0.388888888888889,100kmh,,,,,
4430,AugData/ChildrenCrossing/img2748.png,0.763117283950617,0.494753084065002,0.279320987654321,0.216049382716049,ChildrenCrossing,,,,,
3038,AugData/Stop/img3500.png,0.70216049382716,0.672993824805742,0.179012345679012,0.205246913580247,Stop,,,,,
710,AugData/60kmh/img2206.png,,,,,,,,,,
2746,AugData/NoLeft/img828.png,0.395716945996276,0.456859091362696,0.102420856610801,0.152700186219739,NoLeft,,,,,
